,LATITUD,LONGITUD
0,19.695148,-101.162623
1,19.695148,-101.162623
2,19.695148,-101.162623
3,19.695148,-101.162623
4,19.695148,-101.162623
5,19.695148,-101.162623
6,19.696021000000002,-101.162697
7,19.695148,-101.162623
8,19.695148,-101.162623
9,19.695148,-101.162623
10,19.696021000000002,-101.162697
11,19.695148,-101.162623
12,19.696021000000002,-101.162697
13,19.695148,-101.162623
14,19.695148,-101.162623
15,19.696021000000002,-101.162697
16,19.695148,-101.162623
17,19.696021000000002,-101.162697
18,19.695148,-101.162623
19,19.695148,-101.162623
20,19.695148,-101.162623
21,19.695148,-101.162623
22,19.695148,-101.162623
23,19.696021000000002,-101.162697
24,19.696021000000002,-101.162697
25,19.6837461,-101.1881257
26,19.6837461,-101.1881257
27,19.6837461,-101.1881257
28,19.6837461,-101.1881257
29,19.6837461,-101.1881257
30,19.6836961,-101.1881052
31,19.6837461,-101.1881257
32,19.6837461,-101.1881257
33,19.6837461,-101.1881257
34,19.6837461,-101.1881257
35,19.6824253,-101.1919292
36,19.6836896,-101.1881582
37,19.6836961,-101.1881052
38,19.6838537,-101.1903576
39,19.6837461,-101.1881257
40,19.6837461,-101.1881257
41,19.6837461,-101.1881257
42,19.6838537,-101.1903576
43,19.6836961,-101.1881052
44,19.6836896,-101.1881582
45,19.6824253,-101.1919292
46,19.6837461,-101.1881257
47,19.6836961,-101.1881052
48,19.6838537,-101.1903576
49,19.6824253,-101.1919292
50,19.6836896,-101.1881582
51,19.6837461,-101.1881257
52,19.6824253,-101.1919292
53,19.6838537,-101.1903576
54,19.6836896,-101.1881582
55,19.6837461,-101.1881257
56,19.6824253,-101.1919292
57,19.6838537,-101.1903576
58,19.6836896,-101.1881582
59,19.6837461,-101.1881257
60,19.6837461,-101.1881257
61,19.6836961,-101.1881052
62,19.6837461,-101.1881257
63,19.6837461,-101.1881257
64,19.6837461,-101.1881257
65,19.6837461,-101.1881257
66,19.6837461,-101.1881257
67,19.6837461,-101.1881257
68,19.6837461,-101.1881257
69,19.6837461,-101.1881257
70,19.6837461,-101.1881257
71,19.6836961,-101.1881052
72,19.6837461,-101.1881257
73,19.6836896,-101.1881582
74,19.6837461,-101.1881257
75,19.6824253,-101.1919292
76,19.6837461,-101.1881257
77,19.6837461,-101.1881257
78,19.6837461,-101.1881257
79,19.6837461,-101.1881257
80,19.6838537,-101.1903576
81,19.6837461,-101.1881257
82,19.6837461,-101.1881257
83,19.6837461,-101.1881257
84,19.6824253,-101.1919292
85,19.6836896,-101.1881582
86,19.6837461,-101.1881257
87,19.6838537,-101.1903576
88,19.6837461,-101.1881257
89,19.6837461,-101.1881257
90,19.6837461,-101.1881257
91,19.6837461,-101.1881257
92,19.6837461,-101.1881257
93,19.6837461,-101.1881257
94,19.6837461,-101.1881257
95,19.6837461,-101.1881257
96,19.6836961,-101.1881052
97,19.6837461,-101.1881257
98,19.6837461,-101.1881257
99,19.6837461,-101.1881257
100,19.6837461,-101.1881257
101,19.6837461,-101.1881257
102,19.6836896,-101.1881582
103,19.6837461,-101.1881257
104,19.6838537,-101.1903576
105,19.6837461,-101.1881257
106,19.6837461,-101.1881257
107,19.6837461,-101.1881257
108,19.6836961,-101.1881052
109,19.6837461,-101.1881257
110,19.6824253,-101.1919292
111,19.6837461,-101.1881257
112,19.6837461,-101.1881257
113,19.6837461,-101.1881257
114,19.6837461,-101.1881257
115,19.6837461,-101.1881257
116,19.6959933,-101.1625167
117,19.6959933,-101.1625167
118,19.6960167,-101.1625667
119,19.6960167,-101.1625667
120,19.6960167,-101.1625667
121,19.6960167,-101.1625667
122,19.6960167,-101.1625667
123,19.6960167,-101.1625667
124,19.6960167,-101.1625667
125,19.6960167,-101.1625667
126,19.6960167,-101.1625667
127,19.6960167,-101.1625667
128,19.6960167,-101.1625667
129,19.6960167,-101.1625667
130,19.6960167,-101.1625667
131,19.6960167,-101.1625667
